Network_Latency_ms,Packet_Loss_%,Temperature_C,Vibration_Hz,Power_Consumption_kW,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status
41.532,0.125,30.135,3.21,3.356,2.855,83.831,0.161,0.913,1
28.128,3.064,68.609,1.318,1.993,0.67,237.429,0.758,10.588,1
28.871,4.121,43.907,0.138,3.967,4.276,471.058,0.292,5.076,1
2.671,1.001,57.861,1.351,9.855,1.526,138.691,0.946,12.784,1
43.774,4.04,60.602,2.378,3.606,4.59,73.574,0.685,3.836,1
48.521,3.082,60.217,0.524,7.282,8.253,344.12,0.934,0.044,2
26.283,3.648,68.442,4.385,5.706,9.988,413.401,0.833,0.493,0
46.821,0.472,42.216,0.846,2.809,6.675,289.416,0.29,10.536,1
27.698,1.912,75.074,3.145,5.082,2.292,442.329,0.292,7.584,1
34.699,0.103,43.3,1.669,3.428,6.954,61.328,0.442,5.842,1
23.29,1.728,83.683,2.981,4.967,1.709,322.308,0.819,11.795,1
7.696,0.411,34.544,1.008,7.379,7.168,325.664,0.56,0.477,2
34.503,0.446,34.462,2.121,6.332,6.093,64.065,0.399,2.046,1
41.43,0.487,35.28,3.655,3.031,2.203,309.536,0.274,12.414,1
25.077,1.715,69.928,0.503,5.701,7.557,465.144,0.865,13.746,1
27.987,0.445,36.289,2.91,6.807,4.401,191.844,0.064,2.708,1
49.525,2.923,41.449,3.585,8.415,8.171,374.639,0.737,0.702,2
19.587,1.265,49.597,2.272,8.661,0.971,96.108,0.021,8.625,1
12.938,3.256,69.646,3.318,9.379,8.789,477.31,0.519,3.251,2
45.694,3.791,67.27,4.467,9.497,1.197,294.367,0.493,0.316,2
44.584,4.876,82.744,2.604,2.385,5.423,152.151,0.744,11.184,1
39.97,0.416,38.506,0.526,5.966,6.895,455.63,0.548,10.738,1
28.871,2.464,39.964,3.582,4.944,2.958,415.462,0.39,6.285,1
4.511,3.307,44.131,1.851,5.531,7.621,95.252,0.89,14.634,1
35.245,4.119,48.23,1.86,9.381,6.046,425.671,0.297,3.947,2
18.172,0.699,72.619,4.942,2.286,8.916,315.56,0.008,13.659,1
47.463,2.62,61.038,3.361,9.626,4.859,370.825,0.241,12.617,1
1.017,4.788,62.1,1.085,9.056,2.709,124.978,0.855,14.418,1
27.833,0.755,47.325,4.446,4.119,3.754,186.144,0.845,14.02,1
49.961,1.32,74.486,1.244,8.95,3.615,385.23,0.039,10.117,1
43.605,4.123,57.753,4.658,4.782,0.646,211.412,0.771,8.287,1
11.783,0.088,58.145,0.829,4.191,6.101,301.053,0.255,5.445,1
48.411,4.188,44.394,2.046,9.007,3.171,271.634,0.037,8.517,1
2.011,2.564,47.339,2.985,4.529,0.733,243.288,0.227,0.24,2
49.302,4.363,61.969,0.53,3.649,9.028,400.543,0.978,5.383,1
12.842,0.507,33.689,2.003,4.606,6.777,412.98,0.133,12.196,1
44.929,2.382,86.4,1.755,4.677,6.133,290.688,0.017,6.568,1
12.664,0.69,62.637,2.189,9.859,2.256,405.359,0.671,5.256,1
48.832,0.037,68.192,1.913,7.451,9.226,290.362,0.067,0.527,2
1.391,3.561,31.66,2.707,6.835,0.655,228.298,0.895,3.66,2
36.696,1.335,32.523,3.459,8.141,2.546,347.805,0.886,14.773,1
13.672,2.595,87.731,0.147,9.976,1.577,416.967,0.261,7.493,1
19.208,0.429,39.447,0.792,5.144,7.492,371.985,0.482,5.022,1
41.203,0.01,39.684,2.53,8.523,5.369,320.684,0.845,12.317,1
34.309,2.903,82.993,4.933,9.267,9.642,118.046,0.623,5.609,1
27.835,3.887,77.793,0.743,3.136,5.718,136.729,0.887,7.142,1
35.687,0.088,69.289,2.561,9.491,3.34,333.907,0.832,6.502,1
37.702,0.986,72.016,2.329,3.838,5.861,360.213,0.182,0.126,2
3.147,4.236,31.321,0.26,2.66,3.209,426.09,0.317,1.474,0
39.861,0.05,70.997,2.239,8.103,1.343,444.819,0.991,9.221,1
29.284,2.947,43.699,0.746,6.235,1.048,499.62,0.789,4.476,2
35.779,2.731,43.599,0.744,7.111,7.068,418.536,0.967,11.063,1
18.489,4.109,56.081,3.902,8.503,0.246,324.569,0.917,7.637,1
6.567,1.016,55.306,4.927,2.422,5.158,191.138,0.27,11.434,1
35.933,1.725,61.799,1.774,6.673,3.244,278.098,0.935,5.995,1
39.539,2.924,73.709,0.904,7.24,2.111,137.375,0.384,12.199,1
33.663,1.297,83.949,4.581,4.829,5.07,334.412,0.178,14.891,1
9.117,0.714,57.102,2.919,3.302,2.069,169.843,0.889,6.862,1
49.657,1.575,65.71,3.212,6.659,1.905,341.228,0.699,14.34,1
49.304,3.236,59.662,4.733,9.627,5.694,232.541,0.815,3.967,2
41.615,1.023,30.148,2.339,7.68,3.692,238.744,0.111,0.249,2
10.087,2.682,79.578,4.108,8.941,8.757,255.99,0.369,14.508,1
10.919,2.956,74.148,1.181,6.373,7.272,451.201,0.855,6.516,1
11.905,4.991,87.573,1.643,7.313,0.097,276.669,0.339,4.402,2
29.125,0.41,52.343,1.337,4.643,4.217,402.694,0.979,14.561,1
12.899,3.072,79.208,3.215,2.206,4.862,279.704,0.376,2.453,2
19.774,2.864,73.66,1.413,7.186,3.714,440.809,0.353,14.35,1
37.121,2.689,37.005,3.314,7.964,4.775,452.144,0.275,9.986,1
12.488,1.366,88.212,0.62,5.995,2.246,226.963,0.892,13.648,1
32.366,4.653,39.194,2.698,4.575,2.402,242.303,0.0,6.673,1
43.614,3.789,79.828,1.75,7.518,8.218,117.377,0.96,12.088,1
3.546,0.689,58.421,3.656,2.346,4.211,336.161,0.232,13.736,1
23.384,4.84,66.039,1.151,4.925,9.966,416.075,0.168,0.783,0
17.892,3.13,60.95,4.849,3.365,4.917,73.329,0.35,4.59,1
38.836,0.007,34.024,2.71,9.725,6.503,140.362,0.501,1.956,1
43.482,2.986,86.837,2.149,5.712,7.668,450.105,0.302,8.311,1
7.065,2.14,82.396,0.251,2.73,9.336,463.835,0.31,7.707,1
28.804,0.892,65.194,0.31,7.68,3.211,138.109,0.132,3.983,1
10.0,4.998,59.416,4.354,8.431,1.065,87.815,0.535,5.12,1
9.778,3.891,49.961,1.698,7.052,0.539,367.562,0.648,13.089,1
26.268,4.445,40.488,0.492,5.012,7.319,443.187,0.998,7.796,1
47.926,4.776,76.953,4.999,5.389,8.005,226.042,0.997,7.698,1
41.335,2.606,61.006,3.791,3.439,6.852,74.76,0.287,4.556,1
38.206,0.501,70.709,1.963,6.624,3.098,114.616,0.614,9.763,1
42.009,3.519,47.707,1.452,4.967,8.842,183.318,0.039,4.647,1
40.742,1.164,83.482,4.668,4.233,2.813,162.029,0.761,2.321,1
5.818,3.194,88.688,1.502,5.515,5.311,178.957,0.161,14.385,1
41.562,3.968,69.66,4.933,9.371,8.036,395.25,0.397,10.712,1
48.108,2.114,81.256,4.861,8.552,5.803,103.238,0.042,12.033,1
30.288,0.483,44.055,3.722,8.472,2.637,322.91,0.48,11.308,1
13.747,2.039,88.334,4.104,7.652,9.829,116.993,0.778,14.735,1
9.328,2.885,43.635,0.346,3.203,8.148,335.871,0.225,10.815,1
2.608,3.051,43.711,1.783,4.091,3.827,152.861,0.75,1.275,1
49.594,0.276,85.229,0.947,5.773,6.966,306.916,0.996,3.604,2
48.28,4.656,47.113,0.977,1.743,6.967,414.368,0.555,1.142,0
21.936,1.478,51.833,0.362,2.621,8.121,365.145,0.707,12.63,1
35.659,4.27,81.198,1.887,6.947,2.611,406.789,0.503,12.512,1
47.82,4.987,81.451,0.534,2.494,3.551,364.647,0.655,0.257,2
32.076,2.174,35.009,2.869,6.421,1.199,100.079,0.725,8.336,1
34.628,3.82,49.19,2.016,9.475,0.436,190.562,0.238,10.242,1
17.051,0.583,44.471,2.305,4.942,2.91,354.864,0.313,3.892,2
7.143,4.279,83.891,0.49,2.337,2.119,282.974,0.919,0.833,2
24.968,3.651,47.774,3.263,3.303,2.009,100.768,0.312,1.139,1
49.388,3.502,44.253,4.222,3.607,4.134,267.86,0.119,14.606,1
17.673,3.046,47.646,1.604,8.167,9.33,487.267,0.834,14.929,1
49.888,2.557,82.549,0.691,7.548,6.103,405.572,0.107,9.99,1
21.0,2.247,41.433,0.462,9.918,6.448,468.745,0.196,11.266,1
40.85,2.564,41.072,1.438,8.182,1.562,132.767,0.02,5.946,1
38.456,1.598,80.27,2.255,7.766,2.294,187.86,0.306,14.455,1
45.321,4.753,40.316,1.533,9.935,7.42,432.741,0.04,2.558,2
3.324,1.74,60.164,2.155,5.095,2.272,118.916,0.786,13.693,1
32.805,3.849,59.005,2.079,6.996,2.206,242.663,0.547,9.619,1
48.343,3.898,30.658,2.319,9.765,6.716,257.276,0.805,0.976,2
21.492,3.999,66.5,2.645,3.734,0.95,289.14,0.68,8.206,1
39.285,2.257,70.307,2.942,9.26,3.786,442.609,0.653,9.526,1
3.057,1.788,42.13,3.494,2.497,5.075,263.986,0.794,8.012,1
22.298,4.91,64.649,2.622,9.541,1.015,370.591,0.032,14.492,1
35.331,2.297,38.644,3.249,4.763,2.814,122.551,0.601,4.427,1
36.056,3.139,74.447,2.986,8.128,5.035,141.949,0.864,11.09,1
7.637,2.968,62.142,1.201,3.753,7.825,178.793,0.957,9.973,1
44.536,4.009,54.656,4.835,7.74,4.823,202.763,0.731,2.546,2
1.908,2.74,87.691,4.396,6.459,9.789,316.207,0.767,14.409,1
8.516,0.063,87.19,3.968,3.909,3.708,290.849,0.192,5.76,1
37.614,4.009,32.284,4.885,9.992,2.247,470.094,0.373,1.711,0
48.118,4.859,47.911,0.593,7.216,1.342,181.626,0.014,12.534,1
26.748,3.161,44.413,0.655,9.409,1.9,245.212,0.775,8.269,1
45.729,1.837,87.19,3.631,5.144,7.475,321.158,0.302,10.76,1
37.754,3.447,41.038,3.557,3.885,2.073,271.142,0.144,0.023,2
34.786,0.092,33.283,2.334,7.576,9.869,366.379,0.412,3.315,2
16.67,0.392,42.116,3.028,1.874,5.267,151.831,0.997,7.625,1
9.248,1.83,75.138,2.407,8.357,0.784,253.253,0.609,8.651,1
45.943,3.864,60.842,2.497,7.603,1.213,441.336,0.412,5.476,1
33.277,4.576,88.037,3.134,5.707,6.861,66.503,0.303,10.719,1
36.701,4.789,78.705,3.675,5.74,8.197,351.953,0.904,11.621,1
16.124,4.071,41.829,3.524,9.919,6.06,154.469,0.189,6.297,1
7.463,4.592,52.66,4.842,3.286,5.811,84.712,0.22,13.873,1
25.204,4.365,78.901,4.204,4.811,1.201,370.374,0.304,13.699,1
1.674,3.059,74.157,0.492,6.255,9.037,393.836,0.55,14.131,1
22.891,0.288,49.822,4.351,3.303,3.421,113.644,0.232,9.319,1
6.913,0.575,65.388,1.773,6.371,5.988,306.438,0.768,10.678,1
32.299,1.056,65.072,3.575,4.986,1.433,373.585,0.425,11.414,1
13.615,2.098,82.717,3.561,5.736,2.081,330.499,0.493,2.054,2
26.214,4.883,31.263,0.638,6.235,9.415,84.406,0.831,14.887,1
5.506,2.518,45.535,4.83,7.798,8.369,157.616,0.898,3.476,1
18.471,3.294,72.671,1.753,9.933,1.412,238.738,0.375,9.746,1
9.734,4.933,68.852,4.731,4.104,6.101,441.227,0.756,1.042,0
27.546,1.918,50.488,2.516,4.028,3.67,329.967,0.031,12.863,1
13.277,3.917,81.546,1.947,2.324,1.871,177.315,0.493,0.51,1
25.526,1.951,74.101,0.496,3.815,2.458,107.04,0.186,12.62,1
24.259,4.641,65.94,4.775,8.503,6.204,237.059,0.234,0.146,2
14.286,0.38,44.727,1.502,9.939,6.231,441.595,0.031,1.31,0
43.437,0.254,47.871,3.06,3.289,3.955,149.333,0.878,10.309,1
17.839,4.817,68.767,1.629,8.139,5.412,476.353,0.206,12.53,1
9.895,2.048,87.898,2.181,7.786,5.201,193.874,0.407,6.62,1
23.726,4.485,81.205,0.449,5.233,9.111,394.789,0.439,11.485,1
47.82,1.971,42.54,0.508,4.147,6.667,117.47,0.678,11.145,1
10.051,0.713,74.871,0.338,9.264,9.713,57.128,0.305,10.536,1
20.121,3.214,86.206,1.429,1.571,6.81,401.545,0.636,6.529,1
44.603,4.461,35.903,2.658,9.857,2.671,395.451,0.781,8.5,1
10.086,0.559,70.794,3.435,5.867,0.174,392.809,0.595,14.122,1
47.311,3.269,35.087,3.212,7.483,2.886,487.327,0.379,0.882,0
14.487,4.875,30.282,2.222,1.924,4.418,74.549,0.925,9.477,1
40.834,1.432,88.525,0.464,1.857,9.206,73.239,0.047,1.207,1
2.049,1.82,42.563,2.758,2.743,1.137,483.642,0.144,8.365,1
41.573,4.109,77.967,3.634,7.409,1.239,381.942,0.52,13.844,1
42.581,1.32,63.488,0.655,2.899,7.565,301.105,0.228,14.086,1
39.945,0.01,67.791,1.355,8.306,0.849,377.391,0.662,13.121,1
16.21,3.807,39.09,2.85,5.49,3.399,226.79,0.732,7.907,1
24.291,1.957,75.421,1.62,5.838,1.011,378.603,0.427,4.103,2
3.002,1.543,50.304,2.825,4.484,9.833,363.616,0.128,2.885,2
43.855,1.496,66.194,3.236,2.189,8.741,330.623,0.639,13.577,1
36.3,0.231,53.925,0.969,8.999,7.777,391.11,0.026,14.785,1
33.962,2.687,40.759,3.424,4.105,2.16,343.76,0.11,9.956,1
29.782,0.515,38.14,3.557,2.946,9.549,61.178,0.548,6.045,1
15.296,1.538,53.571,1.877,5.318,2.356,67.586,0.076,12.446,1
35.495,0.469,30.444,4.974,5.558,8.186,463.348,0.12,5.579,1
15.671,2.273,87.834,2.107,2.051,4.195,435.458,0.28,11.976,1
19.522,0.977,47.198,1.092,5.915,2.848,426.727,0.371,14.161,1
3.069,0.453,70.531,4.565,4.989,6.767,246.29,0.085,14.019,1
39.333,2.16,64.334,3.475,9.62,0.144,154.972,0.545,1.001,1
15.572,4.019,73.849,4.766,2.748,2.201,392.539,0.611,3.295,2
3.682,4.756,79.719,1.027,9.727,3.357,265.623,0.666,10.927,1
38.05,2.149,82.581,1.587,4.778,9.088,100.812,0.61,7.795,1
44.064,3.792,70.228,1.952,7.227,9.254,480.681,0.958,11.922,1
38.365,1.616,53.283,0.487,8.029,9.029,195.195,0.037,6.733,1
9.382,2.776,59.636,1.335,5.22,2.592,404.885,0.452,3.268,2
48.059,2.583,52.006,0.217,5.354,4.904,293.164,0.811,6.175,1
44.818,3.828,87.022,0.269,5.407,0.233,454.891,0.264,8.32,1
12.566,3.654,49.224,3.569,5.989,8.879,276.908,0.504,11.03,1
43.566,4.811,45.884,3.991,4.426,2.803,172.189,0.71,0.247,1
16.7,2.988,62.918,4.033,6.428,6.993,155.531,0.018,4.397,1
48.725,2.253,35.721,1.034,8.158,4.013,177.763,0.478,3.27,1
30.332,3.752,83.07,0.459,7.008,3.979,336.736,0.992,9.448,1
23.831,0.136,89.15,1.018,1.632,0.884,432.174,0.343,9.534,1
44.886,0.014,50.904,2.792,6.876,3.195,113.469,0.555,3.202,1
43.185,3.46,36.952,2.112,7.421,1.098,304.051,0.897,6.769,1
30.053,1.618,46.648,1.638,8.556,5.946,345.034,0.801,3.645,2
39.177,4.23,55.131,1.295,7.023,6.901,82.297,0.368,4.023,1
16.933,1.501,80.32,3.594,4.191,1.0,192.962,0.581,10.274,1
16.569,0.69,88.062,4.332,3.341,8.751,390.928,0.855,14.887,1
46.162,1.233,73.182,4.798,4.933,7.531,70.611,0.076,6.144,1
32.778,3.615,85.948,4.07,4.343,7.185,440.015,0.358,10.711,1
23.291,2.583,40.857,4.62,1.58,6.841,214.538,0.9,10.051,1
13.484,2.094,85.745,2.966,4.949,8.137,123.721,0.149,3.32,1
15.94,2.487,64.727,4.948,2.168,0.922,458.623,0.4,4.141,2
37.915,4.469,56.939,4.959,4.893,4.178,181.077,0.647,0.882,1
8.421,4.845,57.231,2.702,4.115,7.388,268.396,0.614,8.825,1
27.464,1.708,87.177,3.272,2.631,1.336,155.157,0.467,4.599,1
14.534,2.871,51.926,1.413,5.463,5.685,421.882,0.595,10.827,1
43.706,1.82,39.327,1.577,8.644,3.301,247.341,0.869,8.858,1
21.445,4.384,65.514,1.528,7.14,4.251,299.116,0.303,8.709,1
16.424,2.585,36.656,4.968,2.831,3.982,324.165,0.42,1.666,2
46.288,2.079,72.741,0.139,3.265,9.812,422.106,0.368,11.012,1
7.605,0.478,30.046,2.782,6.85,3.374,333.435,0.799,8.087,1
22.965,3.683,54.507,2.28,6.301,2.059,75.076,0.937,7.873,1
6.818,3.907,77.987,0.433,5.801,8.435,51.366,0.237,3.406,1
48.53,4.492,54.542,3.428,1.799,9.56,212.794,0.736,14.326,1
26.65,3.524,75.939,1.78,2.17,5.858,389.406,0.642,1.441,2
22.19,1.831,72.221,1.902,8.701,1.407,207.886,0.611,0.874,2
27.82,4.668,70.186,2.227,7.412,2.691,448.279,0.193,4.954,2
31.344,2.188,54.837,4.385,8.589,1.838,198.035,0.934,2.409,1
4.227,0.175,85.105,4.828,5.442,7.061,408.241,0.351,7.532,1
18.965,1.692,51.605,4.418,2.904,1.255,63.702,0.565,5.885,1
14.349,4.483,52.893,1.831,8.397,5.207,134.73,0.258,12.733,1
10.116,2.972,71.85,2.337,8.985,0.735,421.744,0.749,1.552,0
42.035,0.373,74.783,0.852,8.814,2.932,137.98,0.863,10.657,1
31.189,0.866,48.879,3.248,9.569,8.622,321.145,0.946,11.283,1
27.184,3.567,77.773,1.268,5.091,2.484,325.204,0.563,11.638,1
10.528,2.922,79.611,3.079,9.038,2.157,242.664,0.439,9.546,1
22.403,4.985,32.726,3.674,5.114,3.569,129.116,0.53,12.577,1
2.79,0.098,58.177,1.376,6.127,2.684,311.994,0.467,7.184,1
36.903,4.84,69.576,0.203,6.965,5.651,373.195,0.719,6.927,1
1.575,0.082,45.034,2.848,9.021,8.812,344.088,0.61,3.498,2
16.536,2.957,69.73,1.731,7.709,9.69,104.452,0.83,12.817,1
14.779,1.408,40.62,1.81,7.401,4.312,57.965,0.605,11.251,1
34.988,0.569,30.621,0.788,4.529,3.715,154.538,0.533,6.53,1
6.565,1.816,64.853,2.586,7.302,3.845,99.585,0.035,11.574,1
22.081,2.993,34.005,3.258,3.2,7.335,128.538,0.138,5.497,1
39.737,3.207,57.11,2.923,2.012,9.474,359.344,0.097,14.139,1
12.273,1.448,56.046,4.133,7.47,4.257,191.158,0.542,6.715,1
45.682,1.877,87.126,2.002,8.087,8.394,369.56,0.316,0.062,2
32.128,1.046,37.243,1.267,1.892,8.994,286.722,0.015,6.956,1
37.716,2.47,60.032,2.537,1.884,5.512,435.354,0.464,3.785,2
12.358,4.516,77.135,0.615,4.792,8.774,249.902,0.412,11.186,1
28.721,0.739,36.343,3.501,9.614,8.765,217.632,0.382,10.606,1
21.638,1.13,68.479,2.277,6.408,7.944,405.111,0.912,1.131,0
47.442,4.749,87.549,4.341,4.135,0.404,92.154,0.199,2.797,1
28.256,4.075,30.893,0.164,1.58,8.329,358.868,0.249,1.533,2
