Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status
01-01-2025,01:37:00,1,Idle,81.532,3.905,6.072,17.919,0.541,3.811,363.795,0.330,10.783,Low
01-01-2025,01:38:00,25,Active,69.582,4.721,7.794,3.281,4.637,9.599,253.663,0.372,12.224,Low
01-01-2025,01:39:00,7,Active,35.322,3.060,4.164,2.474,4.516,5.931,486.574,0.079,6.587,Low
01-01-2025,01:40:00,9,Idle,41.122,2.272,3.607,39.706,4.684,9.104,419.198,0.888,5.915,Low
01-01-2025,01:41:00,24,Active,32.984,2.812,8.756,48.920,0.657,2.965,256.080,0.460,0.860,Medium
01-01-2025,01:42:00,1,Active,66.906,2.370,6.677,24.823,1.713,5.454,191.224,0.394,0.431,Low
01-01-2025,01:43:00,44,Idle,37.431,4.308,5.105,12.617,2.755,5.561,464.717,0.271,14.551,Low
01-01-2025,01:44:00,8,Active,59.075,4.960,8.176,27.160,0.282,7.711,337.657,0.479,11.958,Low
01-01-2025,01:45:00,24,Idle,72.458,1.323,1.774,13.446,1.252,2.480,491.367,0.653,11.069,Low
01-01-2025,01:46:00,11,Idle,61.604,1.523,7.936,4.753,0.951,9.534,281.053,0.067,9.086,Low
01-01-2025,01:47:00,17,Idle,58.201,4.933,9.462,30.125,1.869,9.979,119.421,0.170,11.711,Low
01-01-2025,01:48:00,8,Active,35.844,2.478,8.093,47.524,0.059,1.535,326.834,0.383,3.144,Medium
01-01-2025,01:49:00,35,Active,60.941,1.053,8.939,26.328,4.909,6.827,108.285,0.336,13.093,Low
01-01-2025,01:50:00,35,Idle,34.315,3.289,2.468,37.301,0.646,4.047,182.501,0.101,13.128,Low
01-01-2025,01:51:00,33,Active,30.833,1.046,1.924,5.252,1.532,2.088,136.213,0.405,0.868,Low
01-01-2025,01:52:00,5,Idle,80.998,3.453,5.476,42.739,3.442,0.616,161.663,0.186,12.396,Low
01-01-2025,01:53:00,42,Maintenance,85.790,3.869,5.426,23.110,0.040,1.168,333.719,0.481,2.654,Medium
01-01-2025,01:54:00,39,Active,30.135,3.210,3.356,41.532,0.125,2.855,83.831,0.161,0.913,Low
01-01-2025,01:55:00,41,Active,68.609,1.318,1.993,28.128,3.064,0.670,237.429,0.758,10.588,Low
01-01-2025,01:56:00,28,Active,43.907,0.138,3.967,28.871,4.121,4.276,471.058,0.292,5.076,Low
01-01-2025,01:57:00,7,Active,57.861,1.351,9.855,2.671,1.001,1.526,138.691,0.946,12.784,Low
01-01-2025,01:58:00,9,Idle,60.602,2.378,3.606,43.774,4.040,4.590,73.574,0.685,3.836,Low
01-01-2025,01:59:00,8,Active,60.217,0.524,7.282,48.521,3.082,8.253,344.120,0.934,0.044,Medium
01-01-2025,02:00:00,12,Active,68.442,4.385,5.706,26.283,3.648,9.988,413.401,0.833,0.493,High
01-01-2025,02:01:00,34,Active,42.216,0.846,2.809,46.821,0.472,6.675,289.416,0.290,10.536,Low
01-01-2025,02:02:00,33,Idle,75.074,3.145,5.082,27.698,1.912,2.292,442.329,0.292,7.584,Low
01-01-2025,02:03:00,48,Active,43.300,1.669,3.428,34.699,0.103,6.954,61.328,0.442,5.842,Low
01-01-2025,02:04:00,23,Active,83.683,2.981,4.967,23.290,1.728,1.709,322.308,0.819,11.795,Low
01-01-2025,02:05:00,24,Active,34.544,1.008,7.379,7.696,0.411,7.168,325.664,0.560,0.477,Medium
01-01-2025,02:06:00,37,Active,34.462,2.121,6.332,34.503,0.446,6.093,64.065,0.399,2.046,Low
01-01-2025,02:07:00,35,Active,35.280,3.655,3.031,41.430,0.487,2.203,309.536,0.274,12.414,Low
01-01-2025,02:08:00,44,Idle,69.928,0.503,5.701,25.077,1.715,7.557,465.144,0.865,13.746,Low
01-01-2025,02:09:00,40,Idle,36.289,2.910,6.807,27.987,0.445,4.401,191.844,0.064,2.708,Low
01-01-2025,02:10:00,22,Active,41.449,3.585,8.415,49.525,2.923,8.171,374.639,0.737,0.702,Medium
01-01-2025,02:11:00,27,Idle,49.597,2.272,8.661,19.587,1.265,0.971,96.108,0.021,8.625,Low
01-01-2025,02:12:00,35,Active,69.646,3.318,9.379,12.938,3.256,8.789,477.310,0.519,3.251,Medium
01-01-2025,02:13:00,1,Maintenance,67.270,4.467,9.497,45.694,3.791,1.197,294.367,0.493,0.316,Medium
01-01-2025,02:14:00,35,Active,82.744,2.604,2.385,44.584,4.876,5.423,152.151,0.744,11.184,Low
01-01-2025,02:15:00,37,Active,38.506,0.526,5.966,39.970,0.416,6.895,455.630,0.548,10.738,Low
01-01-2025,02:16:00,47,Active,39.964,3.582,4.944,28.871,2.464,2.958,415.462,0.390,6.285,Low
01-01-2025,02:17:00,14,Maintenance,44.131,1.851,5.531,4.511,3.307,7.621,95.252,0.890,14.634,Low
01-01-2025,02:18:00,3,Active,48.230,1.860,9.381,35.245,4.119,6.046,425.671,0.297,3.947,Medium
01-01-2025,02:19:00,1,Maintenance,72.619,4.942,2.286,18.172,0.699,8.916,315.560,0.008,13.659,Low
01-01-2025,02:20:00,5,Maintenance,61.038,3.361,9.626,47.463,2.620,4.859,370.825,0.241,12.617,Low
01-01-2025,02:21:00,26,Active,62.100,1.085,9.056,1.017,4.788,2.709,124.978,0.855,14.418,Low
01-01-2025,02:22:00,14,Active,47.325,4.446,4.119,27.833,0.755,3.754,186.144,0.845,14.020,Low
01-01-2025,02:23:00,39,Active,74.486,1.244,8.950,49.961,1.320,3.615,385.230,0.039,10.117,Low
01-01-2025,02:24:00,27,Active,57.753,4.658,4.782,43.605,4.123,0.646,211.412,0.771,8.287,Low
01-01-2025,02:25:00,9,Maintenance,58.145,0.829,4.191,11.783,0.088,6.101,301.053,0.255,5.445,Low
01-01-2025,02:26:00,15,Idle,44.394,2.046,9.007,48.411,4.188,3.171,271.634,0.037,8.517,Low
01-01-2025,02:27:00,15,Active,47.339,2.985,4.529,2.011,2.564,0.733,243.288,0.227,0.240,Medium
01-01-2025,02:28:00,26,Idle,61.969,0.530,3.649,49.302,4.363,9.028,400.543,0.978,5.383,Low
01-01-2025,02:29:00,42,Idle,33.689,2.003,4.606,12.842,0.507,6.777,412.980,0.133,12.196,Low
01-01-2025,02:30:00,13,Maintenance,86.400,1.755,4.677,44.929,2.382,6.133,290.688,0.017,6.568,Low
01-01-2025,02:31:00,32,Active,62.637,2.189,9.859,12.664,0.690,2.256,405.359,0.671,5.256,Low
01-01-2025,02:32:00,39,Active,68.192,1.913,7.451,48.832,0.037,9.226,290.362,0.067,0.527,Medium
01-01-2025,02:33:00,49,Maintenance,31.660,2.707,6.835,1.391,3.561,0.655,228.298,0.895,3.660,Medium
01-01-2025,02:34:00,32,Active,32.523,3.459,8.141,36.696,1.335,2.546,347.805,0.886,14.773,Low
01-01-2025,02:35:00,4,Maintenance,87.731,0.147,9.976,13.672,2.595,1.577,416.967,0.261,7.493,Low
01-01-2025,02:36:00,30,Active,39.447,0.792,5.144,19.208,0.429,7.492,371.985,0.482,5.022,Low
01-01-2025,02:37:00,37,Maintenance,39.684,2.530,8.523,41.203,0.010,5.369,320.684,0.845,12.317,Low
01-01-2025,02:38:00,23,Active,82.993,4.933,9.267,34.309,2.903,9.642,118.046,0.623,5.609,Low
01-01-2025,02:39:00,39,Maintenance,77.793,0.743,3.136,27.835,3.887,5.718,136.729,0.887,7.142,Low
01-01-2025,02:40:00,45,Active,69.289,2.561,9.491,35.687,0.088,3.340,333.907,0.832,6.502,Low
01-01-2025,02:41:00,15,Active,72.016,2.329,3.838,37.702,0.986,5.861,360.213,0.182,0.126,Medium
01-01-2025,02:42:00,43,Active,31.321,0.260,2.660,3.147,4.236,3.209,426.090,0.317,1.474,High
01-01-2025,02:43:00,29,Active,70.997,2.239,8.103,39.861,0.050,1.343,444.819,0.991,9.221,Low
01-01-2025,02:44:00,36,Active,43.699,0.746,6.235,29.284,2.947,1.048,499.620,0.789,4.476,Medium
01-01-2025,02:45:00,13,Maintenance,43.599,0.744,7.111,35.779,2.731,7.068,418.536,0.967,11.063,Low
01-01-2025,02:46:00,32,Active,56.081,3.902,8.503,18.489,4.109,0.246,324.569,0.917,7.637,Low
01-01-2025,02:47:00,7,Active,55.306,4.927,2.422,6.567,1.016,5.158,191.138,0.270,11.434,Low
01-01-2025,02:48:00,22,Idle,61.799,1.774,6.673,35.933,1.725,3.244,278.098,0.935,5.995,Low
01-01-2025,02:49:00,28,Active,73.709,0.904,7.240,39.539,2.924,2.111,137.375,0.384,12.199,Low
01-01-2025,02:50:00,2,Active,83.949,4.581,4.829,33.663,1.297,5.070,334.412,0.178,14.891,Low
01-01-2025,02:51:00,42,Idle,57.102,2.919,3.302,9.117,0.714,2.069,169.843,0.889,6.862,Low
01-01-2025,02:52:00,45,Idle,65.710,3.212,6.659,49.657,1.575,1.905,341.228,0.699,14.340,Low
01-01-2025,02:53:00,6,Active,59.662,4.733,9.627,49.304,3.236,5.694,232.541,0.815,3.967,Medium
01-01-2025,02:54:00,28,Active,30.148,2.339,7.680,41.615,1.023,3.692,238.744,0.111,0.249,Medium
01-01-2025,02:55:00,28,Idle,79.578,4.108,8.941,10.087,2.682,8.757,255.990,0.369,14.508,Low
01-01-2025,02:56:00,44,Idle,74.148,1.181,6.373,10.919,2.956,7.272,451.201,0.855,6.516,Low
01-01-2025,02:57:00,44,Active,87.573,1.643,7.313,11.905,4.991,0.097,276.669,0.339,4.402,Medium
01-01-2025,02:58:00,20,Idle,52.343,1.337,4.643,29.125,0.410,4.217,402.694,0.979,14.561,Low
01-01-2025,02:59:00,30,Active,79.208,3.215,2.206,12.899,3.072,4.862,279.704,0.376,2.453,Medium
01-01-2025,03:00:00,11,Idle,73.660,1.413,7.186,19.774,2.864,3.714,440.809,0.353,14.350,Low
01-01-2025,03:01:00,28,Active,37.005,3.314,7.964,37.121,2.689,4.775,452.144,0.275,9.986,Low
01-01-2025,03:02:00,25,Idle,88.212,0.620,5.995,12.488,1.366,2.246,226.963,0.892,13.648,Low
01-01-2025,03:03:00,39,Maintenance,39.194,2.698,4.575,32.366,4.653,2.402,242.303,0.000,6.673,Low
01-01-2025,03:04:00,33,Idle,79.828,1.750,7.518,43.614,3.789,8.218,117.377,0.960,12.088,Low
01-01-2025,03:05:00,1,Maintenance,58.421,3.656,2.346,3.546,0.689,4.211,336.161,0.232,13.736,Low
01-01-2025,03:06:00,27,Active,66.039,1.151,4.925,23.384,4.840,9.966,416.075,0.168,0.783,High
01-01-2025,03:07:00,13,Active,60.950,4.849,3.365,17.892,3.130,4.917,73.329,0.350,4.590,Low
01-01-2025,03:08:00,41,Idle,34.024,2.710,9.725,38.836,0.007,6.503,140.362,0.501,1.956,Low
01-01-2025,03:09:00,3,Active,86.837,2.149,5.712,43.482,2.986,7.668,450.105,0.302,8.311,Low
01-01-2025,03:10:00,39,Active,82.396,0.251,2.730,7.065,2.140,9.336,463.835,0.310,7.707,Low
01-01-2025,03:11:00,6,Active,65.194,0.310,7.680,28.804,0.892,3.211,138.109,0.132,3.983,Low
01-01-2025,03:12:00,8,Active,59.416,4.354,8.431,10.000,4.998,1.065,87.815,0.535,5.120,Low
01-01-2025,03:13:00,27,Idle,49.961,1.698,7.052,9.778,3.891,0.539,367.562,0.648,13.089,Low
01-01-2025,03:14:00,9,Active,40.488,0.492,5.012,26.268,4.445,7.319,443.187,0.998,7.796,Low
01-01-2025,03:15:00,37,Idle,76.953,4.999,5.389,47.926,4.776,8.005,226.042,0.997,7.698,Low
01-01-2025,03:16:00,33,Maintenance,61.006,3.791,3.439,41.335,2.606,6.852,74.760,0.287,4.556,Low
01-01-2025,03:17:00,42,Active,70.709,1.963,6.624,38.206,0.501,3.098,114.616,0.614,9.763,Low
01-01-2025,03:18:00,44,Idle,47.707,1.452,4.967,42.009,3.519,8.842,183.318,0.039,4.647,Low
01-01-2025,03:19:00,24,Active,83.482,4.668,4.233,40.742,1.164,2.813,162.029,0.761,2.321,Low
01-01-2025,03:20:00,15,Active,88.688,1.502,5.515,5.818,3.194,5.311,178.957,0.161,14.385,Low
01-01-2025,03:21:00,32,Idle,69.660,4.933,9.371,41.562,3.968,8.036,395.250,0.397,10.712,Low
01-01-2025,03:22:00,32,Active,81.256,4.861,8.552,48.108,2.114,5.803,103.238,0.042,12.033,Low
01-01-2025,03:23:00,24,Idle,44.055,3.722,8.472,30.288,0.483,2.637,322.910,0.480,11.308,Low
01-01-2025,03:24:00,41,Active,88.334,4.104,7.652,13.747,2.039,9.829,116.993,0.778,14.735,Low
01-01-2025,03:25:00,49,Active,43.635,0.346,3.203,9.328,2.885,8.148,335.871,0.225,10.815,Low
01-01-2025,03:26:00,49,Active,43.711,1.783,4.091,2.608,3.051,3.827,152.861,0.750,1.275,Low
01-01-2025,03:27:00,12,Active,85.229,0.947,5.773,49.594,0.276,6.966,306.916,0.996,3.604,Medium
01-01-2025,03:28:00,39,Active,47.113,0.977,1.743,48.280,4.656,6.967,414.368,0.555,1.142,High
01-01-2025,03:29:00,2,Active,51.833,0.362,2.621,21.936,1.478,8.121,365.145,0.707,12.630,Low
01-01-2025,03:30:00,3,Active,81.198,1.887,6.947,35.659,4.270,2.611,406.789,0.503,12.512,Low
01-01-2025,03:31:00,49,Active,81.451,0.534,2.494,47.820,4.987,3.551,364.647,0.655,0.257,Medium
01-01-2025,03:32:00,37,Idle,35.009,2.869,6.421,32.076,2.174,1.199,100.079,0.725,8.336,Low
01-01-2025,03:33:00,49,Idle,49.190,2.016,9.475,34.628,3.820,0.436,190.562,0.238,10.242,Low
01-01-2025,03:34:00,17,Active,44.471,2.305,4.942,17.051,0.583,2.910,354.864,0.313,3.892,Medium
01-01-2025,03:35:00,49,Active,83.891,0.490,2.337,7.143,4.279,2.119,282.974,0.919,0.833,Medium
01-01-2025,03:36:00,2,Active,47.774,3.263,3.303,24.968,3.651,2.009,100.768,0.312,1.139,Low
01-01-2025,03:37:00,2,Active,44.253,4.222,3.607,49.388,3.502,4.134,267.860,0.119,14.606,Low
01-01-2025,03:38:00,28,Active,47.646,1.604,8.167,17.673,3.046,9.330,487.267,0.834,14.929,Low
01-01-2025,03:39:00,23,Idle,82.549,0.691,7.548,49.888,2.557,6.103,405.572,0.107,9.990,Low
01-01-2025,03:40:00,37,Active,41.433,0.462,9.918,21.000,2.247,6.448,468.745,0.196,11.266,Low
01-01-2025,03:41:00,32,Active,41.072,1.438,8.182,40.850,2.564,1.562,132.767,0.020,5.946,Low
01-01-2025,03:42:00,33,Active,80.270,2.255,7.766,38.456,1.598,2.294,187.860,0.306,14.455,Low
01-01-2025,03:43:00,1,Active,40.316,1.533,9.935,45.321,4.753,7.420,432.741,0.040,2.558,Medium
01-01-2025,03:44:00,19,Active,60.164,2.155,5.095,3.324,1.740,2.272,118.916,0.786,13.693,Low
01-01-2025,03:45:00,2,Active,59.005,2.079,6.996,32.805,3.849,2.206,242.663,0.547,9.619,Low
01-01-2025,03:46:00,44,Active,30.658,2.319,9.765,48.343,3.898,6.716,257.276,0.805,0.976,Medium
01-01-2025,03:47:00,26,Active,66.500,2.645,3.734,21.492,3.999,0.950,289.140,0.680,8.206,Low
01-01-2025,03:48:00,32,Maintenance,70.307,2.942,9.260,39.285,2.257,3.786,442.609,0.653,9.526,Low
01-01-2025,03:49:00,6,Active,42.130,3.494,2.497,3.057,1.788,5.075,263.986,0.794,8.012,Low
01-01-2025,03:50:00,32,Active,64.649,2.622,9.541,22.298,4.910,1.015,370.591,0.032,14.492,Low
01-01-2025,03:51:00,4,Active,38.644,3.249,4.763,35.331,2.297,2.814,122.551,0.601,4.427,Low
01-01-2025,03:52:00,11,Idle,74.447,2.986,8.128,36.056,3.139,5.035,141.949,0.864,11.090,Low
01-01-2025,03:53:00,17,Active,62.142,1.201,3.753,7.637,2.968,7.825,178.793,0.957,9.973,Low
01-01-2025,03:54:00,38,Active,54.656,4.835,7.740,44.536,4.009,4.823,202.763,0.731,2.546,Medium
01-01-2025,03:55:00,24,Maintenance,87.691,4.396,6.459,1.908,2.740,9.789,316.207,0.767,14.409,Low
01-01-2025,03:56:00,5,Active,87.190,3.968,3.909,8.516,0.063,3.708,290.849,0.192,5.760,Low
01-01-2025,03:57:00,34,Idle,32.284,4.885,9.992,37.614,4.009,2.247,470.094,0.373,1.711,High
